n,name,kind,stage,when,confirmed,checked_on,organizer_url
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Отборочный этап очно, физика","28 ноября 2026, по заявкам от школ",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Отборочный этап очно, литература","28 ноября 2026, по заявкам от школ",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Отборочный этап очно, информатика (вне Перечня)","28 ноября 2026, по заявкам от школ, баллы за индивидуальные достижения",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Заключительный этап, очно","26–28 февраля 2027, Томск и площадки СФО, Якутии, Челябинска, СНГ",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Заключительный этап, математика (вне Перечня)","26 февраля 2027, 15:00, баллы за индивидуальные достижения",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Заключительный этап, география","26 февраля 2027, 15:00",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Заключительный этап, химия","27 февраля 2027, 10:00",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Заключительный этап, история","27 февраля 2027, 10:00",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Заключительный этап, информатика (вне Перечня)","27 февраля 2027, 10:00, баллы за индивидуальные достижения",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Заключительный этап, литература","27 февраля 2027, 15:00",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Заключительный этап, физика","27 февраля 2027, 15:00",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Заключительный этап, биология (вне Перечня)","27 февраля 2027, 15:00, баллы за индивидуальные достижения",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
67,Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,этап,"Заключительный этап, русский язык","28 февраля 2027, 10:00",да,2026-09-18,https://info.abiturient.tsu.ru/ru/content/date-ORMO
68,Открытая химическая олимпиада,этап,"Отборочный этап, онлайн","20 октября 2025 — 20 января 2026, 23:59 МСК (сезон 2025/26)",нет,2026-09-03,https://misis.ru/applicants/school-leavers/competitions/oho/
68,Открытая химическая олимпиада,этап,"Заключительный этап, очно","8 февраля 2026, 10:00 МСК (сезон 2025/26)",нет,2026-09-03,https://misis.ru/applicants/school-leavers/competitions/oho/
68,Открытая химическая олимпиада,этап,Результаты и апелляция,"результаты с 23 марта, апелляция до 25 марта 2026 (сезон 2025/26)",нет,2026-09-03,https://misis.ru/applicants/school-leavers/competitions/oho/
69,Отраслевая олимпиада школьников «Газпром»,регистрация,,"зарегистрироваться нужно до 15 января 2027; дату открытия записи организатор не называет, личный кабинет работает",да,2026-09-02,https://olympiad.gazprom.ru/
69,Отраслевая олимпиада школьников «Газпром»,этап,"Подготовительный этап, профиль «Физика»",10–31 октября 2026,да,2026-09-02,https://olympiad.gazprom.ru/
69,Отраслевая олимпиада школьников «Газпром»,этап,"Подготовительный этап, профиль «Инженерное дело» (засчитывается по физике)",10–31 октября 2026,да,2026-09-02,https://olympiad.gazprom.ru/
69,Отраслевая олимпиада школьников «Газпром»,этап,"Первый (отборочный) этап, заочно",1 ноября 2026 — 15 января 2027,да,2026-09-02,https://olympiad.gazprom.ru/
69,Отраслевая олимпиада школьников «Газпром»,этап,Регистрация,до 15 января 2027,да,2026-09-02,https://olympiad.gazprom.ru/
69,Отраслевая олимпиада школьников «Газпром»,этап,Второй (заключительный) этап,дата уточняется организатором,нет,2026-09-02,https://olympiad.gazprom.ru/
70,Отраслевая физико-математическая олимпиада школьников «Росатом»,этап,"Отборочный тур по физике, очно в Москве","27 сентября 2026, НИЯУ МИФИ (Каширское шоссе, 31)",да,2026-09-15,https://olymp.mephi.ru/rosatom/about
70,Отраслевая физико-математическая олимпиада школьников «Росатом»,этап,"Отборочный этап, очно в Москве",16 ноября 2025 (сезон 2025/26),нет,2026-09-15,https://olymp.mephi.ru/rosatom/about
70,Отраслевая физико-математическая олимпиада школьников «Росатом»,этап,"Отборочный этап, очно в регионах",15–16 ноября 2025 (сезон 2025/26),нет,2026-09-15,https://olymp.mephi.ru/rosatom/about
70,Отраслевая физико-математическая олимпиада школьников «Росатом»,этап,"Отборочный этап, дистанционно",17 ноября — 21 декабря 2025 (сезон 2025/26),нет,2026-09-15,https://olymp.mephi.ru/rosatom/about
70,Отраслевая физико-математическая олимпиада школьников «Росатом»,этап,Заключительный этап по математике,8 февраля 2026 (сезон 2025/26),нет,2026-09-15,https://olymp.mephi.ru/rosatom/about
71,Пироговская олимпиада для школьников по химии и биологии,этап,Регистрация на отборочный этап по биологии,31 октября — 24 ноября 2025 (сезон 2025/26),нет,2026-09-02,https://rsmu.ru/academics/for-school-students/pirogov-olimpiada
71,Пироговская олимпиада для школьников по химии и биологии,этап,"Отборочный этап по биологии, дистанционно",26 ноября 2025 (сезон 2025/26),нет,2026-09-02,https://rsmu.ru/academics/for-school-students/pirogov-olimpiada
71,Пироговская олимпиада для школьников по химии и биологии,этап,Регистрация на заключительный этап по биологии,13 февраля — 2 марта 2026 (сезон 2025/26),нет,2026-09-02,https://rsmu.ru/academics/for-school-students/pirogov-olimpiada
71,Пироговская олимпиада для школьников по химии и биологии,этап,"Заключительный этап по биологии, онлайн-прокторинг","4 марта 2026, 14:00–20:00 МСК (сезон 2025/26)",нет,2026-09-02,https://rsmu.ru/academics/for-school-students/pirogov-olimpiada
73,Региональный конкурс школьников Челябинского университетского образовательного округа,этап,Регистрация,декабрь 2025 — январь 2026 (сезон 2025/26),нет,2026-09-02,https://pre-univer.csu.ru/olymp/regcom/
73,Региональный конкурс школьников Челябинского университетского образовательного округа,этап,"Первый, отборочный дистанционный этап",1 декабря 2025 — 31 января 2026 (сезон 2025/26),нет,2026-09-02,https://pre-univer.csu.ru/olymp/regcom/
73,Региональный конкурс школьников Челябинского университетского образовательного округа,этап,Заключительный очный этап по обществознанию,22 февраля 2026 (сезон 2025/26),нет,2026-09-02,https://pre-univer.csu.ru/olymp/regcom/
73,Региональный конкурс школьников Челябинского университетского образовательного округа,этап,Награждение,20 мая 2026 (сезон 2025/26),нет,2026-09-02,https://pre-univer.csu.ru/olymp/regcom/
74,Санкт-Петербургская астрономическая олимпиада,этап,Заочный отборочный тур,16 декабря 2025 — 20 января 2026 (сезон 2025/26); по регламенту отборочный идёт в декабре — январе,нет,2026-09-02,http://school.astro.spbu.ru/
74,Санкт-Петербургская астрономическая олимпиада,этап,Теоретический тур заключительного этапа,8 февраля 2026 (сезон 2025/26),нет,2026-09-02,http://school.astro.spbu.ru/
74,Санкт-Петербургская астрономическая олимпиада,этап,Практический тур заключительного этапа,15 марта 2026 (сезон 2025/26); по регламенту через 4–6 недель после теоретического,нет,2026-09-02,http://school.astro.spbu.ru/
74,Санкт-Петербургская астрономическая олимпиада,этап,Итоги,"опубликованы 6 апреля 2026, награждение 16 мая 2026 (сезон 2025/26)",нет,2026-09-02,http://school.astro.spbu.ru/
75,Санкт-Петербургская олимпиада школьников,этап,Дистанционный тур,15 декабря 2025 (сезон 2025/26),нет,2026-09-02,https://www.pdmi.ras.ru/~olymp/
75,Санкт-Петербургская олимпиада школьников,этап,Региональный этап,2–3 февраля 2026 (сезон 2025/26),нет,2026-09-02,https://www.pdmi.ras.ru/~olymp/
75,Санкт-Петербургская олимпиада школьников,этап,"Городской тур, 6–8 классы",8 февраля 2026 (сезон 2025/26),нет,2026-09-02,https://www.pdmi.ras.ru/~olymp/
75,Санкт-Петербургская олимпиада школьников,этап,"Городской тур, 9–11 классы",1 марта 2026 (сезон 2025/26),нет,2026-09-02,https://www.pdmi.ras.ru/~olymp/
79,Твой путь в настоящую науку,регистрация,,"регистрация открывается 1 ноября 2026 на сайте олимпиады, дату закрытия регламент не называет; отборочный проходят один раз — на выбор очно (1–31 декабря 2026) или дистанционно (1 декабря 2026 — 31 января 2027), на дистанционный даётся 24 часа с момента скачивания заданий",да,2026-09-02,https://olymphysics.nsu.ru/
79,Твой путь в настоящую науку,этап,Регистрация на отборочный этап,начиная с 1 ноября 2026,да,2026-09-02,https://olymphysics.nsu.ru/
79,Твой путь в настоящую науку,этап,"Отборочный этап, очная форма",1–31 декабря 2026,да,2026-09-02,https://olymphysics.nsu.ru/
79,Твой путь в настоящую науку,этап,"Отборочный этап, дистанционная форма",1 декабря 2026 — 31 января 2027,да,2026-09-02,https://olymphysics.nsu.ru/
79,Твой путь в настоящую науку,этап,"Заключительный этап, очно",1–31 марта 2027; день внутри месяца публикуется не позднее чем за 5 дней,да,2026-09-02,https://olymphysics.nsu.ru/
80,Телевизионная гуманитарная олимпиада школьников «Умницы и умники»,регистрация,,приём эссе — с момента объявления начала Олимпиады на сайте передачи до 1 июня,нет,2026-09-02,https://umniki.club/
80,Телевизионная гуманитарная олимпиада школьников «Умницы и умники»,этап,"Отборочный этап: конкурс эссе, 35 сезон",работы принимались до 31 мая 2026 — окно закрыто,да,2026-09-02,https://umniki.club/
80,Телевизионная гуманитарная олимпиада школьников «Умницы и умники»,этап,Отборочный этап: региональные туры,"по заявкам школ, с середины марта до 1 июня текущего года (рамка организатора, без года)",нет,2026-09-02,https://umniki.club/
80,Телевизионная гуманитарная олимпиада школьников «Умницы и умники»,этап,Заключительный этап: четвертьфиналы I блока,"сентябрь, три съёмочных дня (месяц без года)",нет,2026-09-02,https://umniki.club/
80,Телевизионная гуманитарная олимпиада школьников «Умницы и умники»,этап,Заключительный этап: четвертьфиналы II блока,"конец ноября — начало декабря, три съёмочных дня (месяц без года)",нет,2026-09-02,https://umniki.club/
80,Телевизионная гуманитарная олимпиада школьников «Умницы и умники»,этап,Заключительный этап: полуфиналы,февраль (месяц без года),нет,2026-09-02,https://umniki.club/
80,Телевизионная гуманитарная олимпиада школьников «Умницы и умники»,этап,Заключительный этап: финал,апрель (месяц без года),нет,2026-09-02,https://umniki.club/
81,Турнир городов,регистрация,,"участие оформляет местный оргкомитет; у турнира два варианта — базовый и сложный, каждый отдельно для 8–9 и 10–11 классов",да,2026-09-02,https://turgor.ru/
81,Турнир городов,этап,"Осенний тур, базовый вариант",4 октября 2026 г.,да,2026-09-02,https://turgor.ru/
81,Турнир городов,этап,"Осенний тур, сложный вариант",18 октября 2026 г.,да,2026-09-02,https://turgor.ru/
81,Турнир городов,этап,Весенний тур,будет объявлено позднее,нет,2026-09-02,https://turgor.ru/
81,Турнир городов,этап,"Заключительный устный тур, 11 класс",весной 2027 года,да,2026-09-02,https://turgor.ru/
82,Турнир имени М.В. Ломоносова,регистрация,,до 4 октября 2026; ссылку на регистрацию организатор обещает разместить в ближайшее время,да,2026-09-15,https://турлом.цпм.рф/
82,Турнир имени М.В. Ломоносова,этап,Регистрация,до 4 октября; ссылка на регистрацию будет размещена в ближайшее время,да,2026-09-15,https://турлом.цпм.рф/
82,Турнир имени М.В. Ломоносова,этап,Осенний турнир (XLIX),4 октября 2026 (новость организатора 08.09.2026),да,2026-09-15,https://турлом.цпм.рф/
82,Турнир имени М.В. Ломоносова,этап,Весенний тур,регистрация начнётся позже (10–11 классы),нет,2026-09-15,https://турлом.цпм.рф/
83,Университетская олимпиада школьников «Бельчонок»,регистрация,,отборочный этап открыт с 1 октября 2026 по 12 января 2027; участие — через личный кабинет участника олимпиад СФУ,да,2026-09-10,https://dovuz.sfu.ru/abiturientu-sfu/olimpiady/belchonok/2026-2027-uchebnyy-god/
83,Университетская олимпиада школьников «Бельчонок»,этап,"Первый, отборочный этап","1 октября 2026 — 12 января 2027, дистанционно; доступ к заданиям закрывается в 17:00 по красноярскому времени (GMT+7)",да,2026-09-10,https://dovuz.sfu.ru/abiturientu-sfu/olimpiady/belchonok/2026-2027-uchebnyy-god/
83,Университетская олимпиада школьников «Бельчонок»,этап,Результаты отборочного этапа,18 января 2027,да,2026-09-10,https://dovuz.sfu.ru/abiturientu-sfu/olimpiady/belchonok/2026-2027-uchebnyy-god/
83,Университетская олимпиада школьников «Бельчонок»,этап,"Второй, заключительный этап — математика и физика","7 февраля 2027, очно в Красноярске и на региональных площадках",да,2026-09-10,https://dovuz.sfu.ru/abiturientu-sfu/olimpiady/belchonok/2026-2027-uchebnyy-god/
83,Университетская олимпиада школьников «Бельчонок»,этап,"Второй, заключительный этап — информатика и химия","14 февраля 2027, очно в Красноярске и на региональных площадках",да,2026-09-10,https://dovuz.sfu.ru/abiturientu-sfu/olimpiady/belchonok/2026-2027-uchebnyy-god/
